Field (Oe)	Long Moment (emu)
69900	7.15801484313725E-5
66747.37	7.1634747505706E-5
63594.74	7.12316995212157E-5
60442.11	7.06300240857451E-5
57289.47	7.0205956016098E-5
54136.84	6.92035943061176E-5
50984.21	6.85250561255491E-5
47831.58	6.77067140234118E-5
44678.95	6.64509209408824E-5
41526.32	6.58248337407059E-5
38373.68	6.49849715534118E-5
35221.05	6.30790412159804E-5
32068.42	6.06183657805098E-5
28915.79	6.09643668156275E-5
25763.16	5.93264658899608E-5
22610.53	5.74953688858627E-5
19457.89	5.5307408659353E-5
16305.26	5.33635959689804E-5
13152.63	5.00379126903726E-5
10000	4.6741681372549E-5
8020.022	4.42040007755804E-5
6524.509	4.19457041619353E-5
5019.404	3.95723340226902E-5
3514.012	3.60952560668941E-5
2008.263	3.17657316592333E-5
1506.165	2.98910285776373E-5
1305.332	2.88880778370118E-5
1104.527	2.79226696093353E-5
903.8076	2.67472188007977E-5
702.9169	2.53037547178367E-5
502.1837	2.31540432506061E-5
301.2501	2.04002814336947E-5
100.4597	1.30285684127002E-5
-100.6172	-1.24353014205875E-5
-301.4792	-2.06113672709129E-5
-502.4128	-2.34176290878243E-5
-703.1603	-2.57103973160449E-5
-1104.784	-2.78102779547294E-5
-1305.56	-2.88445612687843E-5
-1506.365	-2.97112342023431E-5
-2008.406	-3.17109659358E-5
-3413.725	-3.54942457013235E-5
-4818.828	-3.84735602549098E-5
-6223.716	-4.11922370952706E-5
-7621.448	-4.18880684483608E-5
-9023.473	-4.50603860847824E-5
-11030.66	-4.68485291301569E-5
-14317.75	-5.07604509573529E-5
-17609.43	-5.41883948127255E-5
-20899.39	-5.66658506877843E-5
-24188.63	-5.83304682746863E-5
-27481.45	-6.07053057595098E-5
-30771.41	-6.24237812424118E-5
-34061.36	-6.41910307578039E-5
-37351.32	-6.50131042799216E-5
-40640.56	-6.62807610825098E-5
-43931.95	-6.6948795017353E-5
-47220.48	-6.83866630287059E-5
-50509	-6.93044913470589E-5
-53797.54	-6.96322029729804E-5
-57086.05	-7.02762661081373E-5
-60376	-7.09634960156863E-5
-63664.54	-7.10182664651373E-5
-66954.48	-7.1747417464E-5
-70243.02	-7.20613055605098E-5
