Field (Oe)	Long Moment (emu)
69900	1.53789282E-5
66747.37	1.41586926089542E-5
63594.74	1.47333589786926E-5
60442.11	1.36881233876467E-5
57289.47	1.3192169688911E-5
54136.84	1.24002674311984E-5
50984.21	1.17241494872114E-5
47831.58	1.12177374255773E-5
44678.95	1.05052469325706E-5
41526.32	9.99157996897572E-6
38373.68	9.30170470161255E-6
35221.05	8.67950832625293E-6
32068.42	7.89537077442274E-6
28915.79	7.35104694808274E-6
25763.16	6.83557606291923E-6
22610.53	5.98977184442236E-6
19457.89	5.3016220672553E-6
16305.26	4.67713157424864E-6
13152.63	3.86133715967334E-6
10000	3.0347094117647E-6
8018.018	2.52710690607694E-6
6022.425	2.03701939634608E-6
4015.666	1.554141859788E-6
2008.047	9.37941375632276E-7
1505.935	9.97383717820196E-7
1204.714	7.3775050615004E-7
903.5786	6.18852531598721E-7
602.3999	4.9136181741722E-7
301.0354	1.98928270202298E-7
0.4151816	1.19900380550745E-7
-301.2644	-6.76236225733175E-8
-602.629	-2.22504841061216E-7
-903.7504	-4.29188641317396E-7
-1204.943	-5.60468701658314E-7
-1506.136	-7.08159839248E-7
-2008.12	-8.63551208826667E-7
-4015.666	-1.48254382057232E-6
-6022.568	-2.03220010101616E-6
-8019.593	-2.68702259271126E-6
-11029.8	-3.21193930777255E-6
-14844.61	-4.04397696107804E-6
-18660.27	-5.22036749350705E-6
-22473.49	-6.57409857315334E-6
-26288.87	-7.01528405105216E-6
-30103.54	-7.76517996140628E-6
