Field (Oe)	Long Moment (emu)
69900	3.38327647058824E-5
66747.37	3.36390838686275E-5
63594.74	3.34566775411765E-5
60442.11	3.30362319980392E-5
57289.47	3.27132095352941E-5
54136.84	3.23997247764706E-5
50984.21	3.20510439392157E-5
47831.58	3.14717748666667E-5
44678.95	3.10524273627451E-5
41526.32	3.06677269176471E-5
38373.68	2.99111064156863E-5
35221.05	2.93002491078431E-5
32068.42	2.85733819960784E-5
28915.79	2.7825122727451E-5
25763.16	2.69495399294118E-5
22610.53	2.61769865431373E-5
19457.89	2.49557189823529E-5
16305.26	2.37321361843137E-5
13152.63	2.23064455431373E-5
10000	2.06363274509804E-5
8019.593	2.008581447E-5
6524.938	1.82763059611765E-5
5019.69	1.70264301980392E-5
3514.299	1.55415010727451E-5
2008.406	1.35173625439216E-5
1506.193	1.2708341215098E-5
1305.36	1.2256267145098E-5
1104.584	1.17854501443137E-5
903.8362	1.10490206450588E-5
702.9599	1.05332238072745E-5
502.2267	9.75171151260784E-6
301.2787	8.81271953378431E-6
100.4883	6.99748882758823E-6
-100.6458	-7.12023448666667E-7
-502.4558	-6.42277521141176E-6
-703.2319	-8.37841209903922E-6
-904.0939	-9.60346315747059E-6
-1104.813	-1.03891567013725E-5
-1305.617	-1.12388459398039E-5
-1506.422	-1.19377340466667E-5
-3413.938	-1.51361987847059E-5
-6224.003	-1.78989818994118E-5
-7620.731	-1.87609914507843E-5
-9023.76	-1.98526580470588E-5
-11030.38	-2.10492582392157E-5
-14318.61	-2.29101669980392E-5
-17610.86	-2.4500162145098E-5
-20901.54	-2.53748946392157E-5
-24190.78	-2.67235507098039E-5
-27483.6	-2.75539204705882E-5
-30773.56	-2.82049873019608E-5
-34063.51	-2.88789478019608E-5
-37354.19	-2.95191508843137E-5
-40643.43	-3.03425226411765E-5
-43933.39	-3.07190306490196E-5
-47223.34	-3.11558636980392E-5
-50511.87	-3.16633133784314E-5
-53800.4	-3.20019395294118E-5
-57088.91	-3.25172745862745E-5
-60378.88	-3.25122712784314E-5
-63668.82	-3.35728705450981E-5
-66958.78	-3.38341138470588E-5
-70248.75	-3.41142085784314E-5
