Field (Oe)	Long Moment (emu)
69900	6.47461809803922E-5
66747.37	6.45076173303726E-5
63594.74	6.37415046607451E-5
60442.11	6.31740194420981E-5
57289.47	6.24781678631176E-5
54136.84	6.19702904876079E-5
50984.21	6.13648640924902E-5
47831.58	6.07020063248236E-5
44678.95	6.01407564002941E-5
41526.32	5.93079672600784E-5
38373.68	5.83409097987451E-5
35221.05	5.75507383055882E-5
32068.42	5.66410177928235E-5
28915.79	5.56396208094706E-5
25763.16	5.45188610810196E-5
22610.53	5.32432189996275E-5
19457.89	5.19133184010392E-5
16305.26	5.04419478882745E-5
13152.63	4.87786930617843E-5
10000	4.69294901960784E-5
8019.306	4.56498619262E-5
6825.301	4.46841078872098E-5
5621.13	4.35740629137451E-5
4417.104	4.22616536945255E-5
3212.647	4.09101445410177E-5
2007.976	3.88333305704941E-5
1505.906	3.75983302560039E-5
1305.045	3.69755936901275E-5
1104.297	3.64638577803314E-5
903.5213	3.57877264641767E-5
702.6593	3.49045650269728E-5
501.9117	3.36652716147273E-5
300.9781	3.22616188022426E-5
100.1733	3.05016168677139E-5
-100.3451	-3.00925764284367E-5
-301.2072	-3.23024146664988E-5
-502.1837	-3.35048464197155E-5
-702.8739	-3.46576659432555E-5
-903.8076	-3.56551622232651E-5
-1104.527	-3.64053428915274E-5
-1305.303	-3.71331320612372E-5
-1506.136	-3.75074820338667E-5
-2008.191	-3.84277269255039E-5
-3513.94	-4.11806857164314E-5
-5019.404	-4.29835659829569E-5
-6524.651	-4.41786903478961E-5
-8019.593	-4.56547509775706E-5
-11030.38	-4.75194870063922E-5
-14730.36	-4.83268720308235E-5
-18433.35	-5.11741348489216E-5
-22135.62	-5.2920174919098E-5
-25836.47	-5.45516977042941E-5
-29537.32	-5.57607793130196E-5
-33241.03	-5.69642576241373E-5
-36941.15	-5.82685164971569E-5
-40642.71	-5.93435508660196E-5
-44344.27	-5.99516734701765E-5
-48045.11	-6.14219181303333E-5
-51743.1	-6.22052697033333E-5
-55443.94	-6.2496269265451E-5
-59143.34	-6.24099639199608E-5
-62844.2	-6.35389707125491E-5
-66545.05	-6.43117680075491E-5
-70247.31	-6.47545162271961E-5
